1	2
1	1
2	17
6	13
3	1
5	15
2	10
2	14
7	1
10	13
8	13
3	8
6	9
8	11
1	15
3	18
4	19
7	10
9	3
2	9
10	12
7	16
3	7
10	18
9	9
6	19
3	12
4	11
2	3
8	19
1	11
1	6
9	15
2	6
10	1
4	20
7	8
3	20
1	9
1	8
10	10
3	11
4	9
8	16
6	3
3	16
2	16
4	3
4	1
5	7
9	6
10	16
10	7
3	14
9	14
8	10
5	2
4	15
6	20
9	7
9	17
2	15
2	13
1	14
7	6
2	19
8	18
5	16
10	3
4	10
8	7
4	18
5	9
1	10
10	9
5	14
8	9
2	20
8	17
8	8
3	3
2	7
6	1
4	2
9	18
5	17
5	6
8	12
6	8
6	16
6	2
1	17
7	18
9	8
6	12
8	15
9	11
3	9
3	10
1	20
6	14
8	14
